winner,roundname,home_score,away_behinds,away_score,year,home_behinds,away_goals,away_team,venue,home_goals,home_team,points_away,points_home,state
Sydney,Round 3,111,18.0,90,2015,15.0,12.0,Greater Western Sydney,S.C.G.,16.0,Sydney,30.0,31.0,New South Wales
Port Adelaide,Round 3,105,11.0,113,2015,9.0,17.0,Port Adelaide,Docklands,16.0,North Melbourne,28.0,25.0,Victoria
Richmond,Round 3,58,11.0,137,2015,10.0,21.0,Richmond,Gabba,8.0,Brisbane Lions,32.0,18.0,Queensland
Hawthorn,Round 3,127,9.0,57,2015,13.0,8.0,Western Bulldogs,University of Tasmania Stadium,19.0,Hawthorn,17.0,32.0,Victoria
Geelong,Round 3,105,18.0,96,2015,9.0,13.0,Gold Coast,GMHBA Stadium,16.0,Geelong,31.0,25.0,Victoria
Fremantle,Round 3,81,9.0,111,2015,9.0,17.0,Fremantle,Subiaco,12.0,West Coast,26.0,21.0,Western Australia
Melbourne,Round 4,51,11.0,83,2015,15.0,12.0,Melbourne,M.C.G.,6.0,Richmond,23.0,21.0,Victoria
Carlton,Round 4,81,13.0,121,2015,9.0,18.0,Carlton,Wellington,12.0,St Kilda,31.0,21.0,Victoria
Collingwood,Round 4,49,15.0,69,2015,13.0,9.0,Collingwood,M.C.G.,6.0,Essendon,24.0,19.0,Victoria
Greater Western Sydney,Round 4,119,11.0,53,2015,23.0,7.0,Gold Coast,UNSW Canberra Oval,16.0,Greater Western Sydney,18.0,39.0,New South Wales
Port Adelaide,Round 4,99,13.0,91,2015,9.0,13.0,Hawthorn,Adelaide Oval,15.0,Port Adelaide,26.0,24.0,South Australia
Fremantle,Round 4,74,12.0,60,2015,8.0,8.0,Sydney,Subiaco,11.0,Fremantle,20.0,19.0,Western Australia
West Coast,Round 4,65,16.0,118,2015,11.0,17.0,West Coast,Gabba,9.0,Brisbane Lions,33.0,20.0,Queensland
North Melbourne,Round 4,67,11.0,83,2015,13.0,12.0,North Melbourne,GMHBA Stadium,9.0,Geelong,23.0,22.0,Victoria
Western Bulldogs,Round 4,125,8.0,68,2015,17.0,10.0,Adelaide,Docklands,18.0,Western Bulldogs,18.0,35.0,Victoria
Collingwood,Round 5,45,12.0,120,2015,9.0,18.0,Collingwood,M.C.G.,6.0,Carlton,30.0,15.0,Victoria
Geelong,Round 5,76,13.0,85,2015,10.0,12.0,Geelong,M.C.G.,11.0,Richmond,25.0,21.0,Victoria
Western Bulldogs,Round 5,73,11.0,77,2015,13.0,11.0,Western Bulldogs,S.C.G.,10.0,Sydney,22.0,23.0,New South Wales
Gold Coast,Round 5,118,12.0,54,2015,10.0,7.0,Brisbane Lions,Carrara,18.0,Gold Coast,19.0,28.0,Queensland
Hawthorn,Round 5,70,16.0,130,2015,10.0,19.0,Hawthorn,Docklands,10.0,North Melbourne,35.0,20.0,Victoria
West Coast,Round 5,120,9.0,33,2015,12.0,4.0,Greater Western Sydney,Subiaco,18.0,West Coast,13.0,30.0,Western Australia
Fremantle,Round 5,50,10.0,118,2015,14.0,18.0,Fremantle,M.C.G.,6.0,Melbourne,28.0,20.0,Victoria
Essendon,Round 5,80,16.0,82,2015,14.0,11.0,Essendon,Docklands,11.0,St Kilda,27.0,25.0,Victoria
